filename,width,height,class,xmin,ymin,xmax,ymax
hard_hat_workers0.png,416,416,helmet,357,116,404,175
hard_hat_workers0.png,416,416,helmet,4,146,39,184
hard_hat_workers0.png,416,416,helmet,253,139,275,177
hard_hat_workers0.png,416,416,helmet,300,145,323,181
hard_hat_workers0.png,416,416,helmet,116,151,138,180
hard_hat_workers0.png,416,416,helmet,80,151,100,180
hard_hat_workers0.png,416,416,head,62,144,83,172
hard_hat_workers0.png,416,416,head,322,141,345,178
hard_hat_workers0.png,416,416,head,175,156,194,186
hard_hat_workers0.png,416,416,head,222,151,240,182
hard_hat_workers0.png,416,416,head,200,146,216,173
hard_hat_workers0.png,416,416,helmet,98,140,112,160
hard_hat_workers0.png,416,416,head,157,150,175,177
hard_hat_workers1.png,416,416,helmet,116,230,141,252
hard_hat_workers1.png,416,416,helmet,99,249,126,274
hard_hat_workers1.png,416,416,helmet,42,212,70,243
hard_hat_workers1.png,416,416,helmet,183,237,210,263
hard_hat_workers1.png,416,416,helmet,204,193,227,217
hard_hat_workers1.png,416,416,helmet,244,109,269,137
hard_hat_workers1.png,416,416,helmet,275,210,303,238
hard_hat_workers1.png,416,416,helmet,257,173,282,196
hard_hat_workers1.png,416,416,helmet,243,0,269,28
hard_hat_workers10.png,416,416,helmet,219,68,255,116
hard_hat_workers10.png,416,416,helmet,290,134,322,169
hard_hat_workers10.png,416,416,helmet,371,134,403,169
hard_hat_workers100.png,416,415,helmet,312,169,408,253
hard_hat_workers100.png,416,415,helmet,129,84,236,187
hard_hat_workers100.png,416,415,helmet,0,96,81,190
hard_hat_workers100.png,416,415,helmet,128,0,236,75
hard_hat_workers100.png,416,415,helmet,0,0,81,62
hard_hat_workers1000.png,416,416,helmet,325,84,412,183
hard_hat_workers1000.png,416,416,helmet,324,0,412,55
hard_hat_workers1001.png,416,415,helmet,74,97,156,194
hard_hat_workers1001.png,416,415,helmet,291,106,370,195
hard_hat_workers1001.png,416,415,helmet,74,0,157,42
hard_hat_workers1001.png,416,415,helmet,290,0,370,33
hard_hat_workers1002.png,416,416,helmet,244,81,336,192
hard_hat_workers1002.png,416,416,helmet,115,60,198,164
hard_hat_workers1002.png,416,416,helmet,244,0,337,24
hard_hat_workers1002.png,416,416,helmet,114,0,198,45
hard_hat_workers1003.png,416,415,helmet,157,180,177,204
hard_hat_workers1003.png,416,415,helmet,194,192,216,216
hard_hat_workers1003.png,416,415,helmet,236,195,255,215
hard_hat_workers1003.png,416,415,helmet,266,204,285,222
hard_hat_workers1003.png,416,415,helmet,131,154,143,168
hard_hat_workers1003.png,416,415,helmet,93,141,105,155
hard_hat_workers1004.png,416,415,helmet,5,208,47,252
hard_hat_workers1004.png,416,415,helmet,313,197,357,248
hard_hat_workers1004.png,416,415,helmet,133,85,155,112
hard_hat_workers1004.png,416,415,helmet,238,157,261,181
hard_hat_workers1004.png,416,415,helmet,133,27,155,54
hard_hat_workers1005.png,416,415,helmet,289,201,320,246
hard_hat_workers1005.png,416,415,helmet,184,92,233,132
hard_hat_workers1005.png,416,415,helmet,236,73,281,122
hard_hat_workers1005.png,416,415,head,166,120,218,169
hard_hat_workers1005.png,416,415,helmet,184,2,233,42
hard_hat_workers1005.png,416,415,helmet,236,13,281,62
hard_hat_workers1005.png,416,415,head,166,0,219,15
hard_hat_workers1006.png,416,416,helmet,27,129,46,152
hard_hat_workers1006.png,416,416,head,66,122,87,143
hard_hat_workers1006.png,416,416,head,115,115,139,140
hard_hat_workers1006.png,416,416,head,89,128,105,147
hard_hat_workers1006.png,416,416,head,166,128,184,147
hard_hat_workers1006.png,416,416,head,191,134,204,148
hard_hat_workers1006.png,416,416,head,221,100,255,136
hard_hat_workers1006.png,416,416,head,246,113,263,133
hard_hat_workers1006.png,416,416,head,341,117,387,164
hard_hat_workers1006.png,416,416,helmet,26,0,46,14
hard_hat_workers1006.png,416,416,head,65,0,87,21
hard_hat_workers1006.png,416,416,head,115,3,139,28
hard_hat_workers1006.png,416,416,head,89,0,106,15
hard_hat_workers1006.png,416,416,head,166,0,185,15
hard_hat_workers1006.png,416,416,head,190,0,204,9
hard_hat_workers1006.png,416,416,head,221,6,255,42
hard_hat_workers1006.png,416,416,head,246,9,263,29
hard_hat_workers1006.png,416,416,head,341,0,388,26
hard_hat_workers1007.png,416,415,helmet,104,91,164,165
hard_hat_workers1007.png,416,415,helmet,142,140,171,180
hard_hat_workers1007.png,416,415,person,47,99,165,344
hard_hat_workers1007.png,416,415,person,141,140,173,321
hard_hat_workers1007.png,416,415,head,313,175,329,190
hard_hat_workers1007.png,416,415,person,308,173,348,217
hard_hat_workers1007.png,416,415,helmet,104,0,165,52
hard_hat_workers1007.png,416,415,person,47,345,166,414
hard_hat_workers1007.png,416,415,person,141,368,174,414
hard_hat_workers1008.png,416,415,helmet,180,80,233,134
hard_hat_workers1008.png,416,415,helmet,283,143,326,185
hard_hat_workers1008.png,416,415,helmet,180,4,233,58
